MUTERIA_MATRIX_KEY_COL org.apache.commons.collections4.bloomfilter.hasher.DynamicHasherTest.testGetBits org.apache.commons.collections4.bloomfilter.hasher.DynamicHasherBuilderTest.buildTest_String org.apache.commons.collections4.bloomfilter.hasher.DynamicHasherBuilderTest.buildTest_byteArray org.apache.commons.collections4.bloomfilter.hasher.DynamicHasherTest.testGetBits_MultipleHashes org.apache.commons.collections4.bloomfilter.hasher.DynamicHasher_ESTest.test9 org.apache.commons.collections4.bloomfilter.hasher.DynamicHasher_ESTest.test5 org.apache.commons.collections4.bloomfilter.hasher.DynamicHasherBuilderTest.buildTest_Empty org.apache.commons.collections4.bloomfilter.hasher.DynamicHasherBuilderTest.buildTest_UnencodedString org.apache.commons.collections4.bloomfilter.hasher.DynamicHasher_ESTest.test6 org.apache.commons.collections4.bloomfilter.hasher.DynamicHasher_ESTest.test4 org.apache.commons.collections4.bloomfilter.HasherBloomFilterTest.constructorTest_NonStatic org.apache.commons.collections4.bloomfilter.hasher.DynamicHasher_ESTest.test7 org.apache.commons.collections4.bloomfilter.hasher.DynamicHasher_ESTest.test0 org.apache.commons.collections4.bloomfilter.hasher.DynamicHasherTest.testGetBits_WrongShape org.apache.commons.collections4.bloomfilter.hasher.DynamicHasher_ESTest.test8 org.apache.commons.collections4.bloomfilter.hasher.DynamicHasherBuilderTest.buildResetTest
1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1
2 1 1 1 1 0 0 0 1 0 0 1 0 0 0 0 1
3 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1
4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 1 1 1 1 1 0 1 1 0 0 1 0 0 0 0 1
6 1 1 1 1 0 0 1 1 0 0 1 0 0 0 1 1
7 1 1 1 1 1 0 1 1 0 0 1 0 0 0 1 1
8 1 1 1 1 0 0 1 1 0 0 1 0 0 1 1 1
9 1 1 1 1 0 0 0 1 0 0 1 0 0 0 0 1
10 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1
11 1 1 1 1 1 0 1 1 0 0 1 0 0 0 0 1
12 1 1 1 1 0 0 1 1 0 0 1 0 0 1 1 1
13 1 1 1 1 0 0 1 1 0 0 1 0 0 1 1 1
14 1 1 1 1 1 0 1 1 0 0 1 0 0 0 1 1
15 1 1 1 1 0 0 1 1 1 0 1 0 0 1 0 1
16 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0
17 1 1 1 1 1 0 1 1 0 0 1 0 0 0 0 1
18 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1
19 1 1 1 1 0 0 0 1 0 0 1 0 0 0 1 1
20 1 1 1 1 0 0 1 1 0 0 1 0 0 1 1 1
