test,val,train,name 
429, 286, 20, collections_25 
81, 53, 20, collections_28 
129, 86, 20, collections_10 
81, 53, 20, collections_26 
51, 34, 20, collections_4 
54, 35, 20, collections_20 
441, 294, 20, collections_14 
248, 164, 20, collections_15 
267, 177, 20, collections_21 
520, 346, 20, collections_13 
80, 52, 20, collections_1 
57, 38, 20, collections_11 
185, 123, 20, collections_3 
391, 260, 20, collections_17 
117, 78, 20, collections_5 
645, 430, 20, collections_18 
418, 278, 20, collections_22 
125, 83, 20, collections_12 
245, 163, 20, collections_7 
86, 57, 20, csv_18 
310, 206, 19, csv_22 
348, 232, 20, csv_27 
83, 55, 20, csv_2 
43, 28, 16, csv_6 
332, 220, 20, csv_16 
334, 222, 20, csv_14 
311, 206, 20, csv_1 
297, 197, 20, csv_8 
86, 56, 20, csv_13 
276, 184, 20, csv_20 
88, 58, 20, csv_29 
77, 50, 20, csv_21 
146, 96, 20, csv_10 
168, 111, 10, csv_23 
150, 99, 20, csv_12 
340, 226, 20, csv_15 
68, 45, 10, csv_4 
327, 218, 20, csv_19 
14, 9, 15, csv_24 
86, 57, 20, csv_5 
256, 170, 20, csv_31 
307, 204, 20, csv_17 
365, 242, 20, io_9 
113, 74, 20, io_1 
0, 0, 0, io_6 
200, 133, 15, io_23 
1261, 840, 20, io_12 
645, 430, 20, io_24 
206, 137, 20, io_17 
313, 208, 20, io_18 
159, 105, 20, io_13 
64, 42, 10, io_10 
129, 85, 20, io_5 
575, 382, 20, io_2 
645, 430, 20, io_19 
115, 76, 20, io_20 
720, 479, 20, io_16 
225, 149, 20, io_4 
161, 107, 20, io_25 
117, 78, 20, io_7 
77, 51, 20, io_14 
720, 479, 20, io_11 
162, 108, 20, io_26 
158, 105, 20, io_3 
1242, 828, 20, io_15 
162, 108, 20, text_30 
116, 76, 20, text_5 
25, 16, 13, text_31 
537, 358, 20, text_14 
407, 271, 20, text_24 
82, 54, 20, text_29 
2504, 1668, 20, text_12 
22, 14, 19, text_16 
771, 513, 20, text_4 
468, 312, 20, text_6 
102, 67, 20, text_23 
601, 400, 20, text_2 
283, 188, 20, text_28 
352, 234, 20, text_25 
16, 10, 10, text_22 
1470, 979, 20, text_1 
292, 194, 20, text_11 
883, 588, 20, text_3 
273, 182, 20, text_20 
1069, 712, 20, text_26 
393, 262, 20, text_13 
45, 29, 20, text_15 
410, 272, 20, text_19 
861, 574, 20, text_8 
426, 283, 20, text_21 
883, 588, 20, text_18 
190, 126, 20, text_9 
254, 169, 20, lang_5 
73, 48, 20, lang_18 
18, 12, 11, lang_6 
281, 187, 20, lang_16 
506, 336, 20, lang_2 
670, 446, 20, lang_25 
301, 200, 20, lang_27 
81, 53, 20, lang_23 
0, 0, 0, lang_13 
1437, 957, 20, lang_9 
191, 127, 20, lang_26 
1068, 711, 20, lang_29 
319, 212, 20, lang_1 
59, 39, 10, lang_4 
501, 334, 10, lang_31 
1955, 1302, 20, lang_28 
1419, 945, 20, lang_12 
671, 447, 20, lang_21 
197, 131, 20, lang_10 
763, 508, 20, lang_17 
135, 90, 20, lang_11 
46, 30, 20, lang_19 
987, 658, 20, lang_7 
0, 0, 0, lang_15 
982, 654, 20, lang_3 
976, 650, 20, lang_20 
