test,val,train,name 
1359, 906, 613, collections_25 
5, 3, 128, collections_28 
39, 25, 177, collections_10 
0, 0, 59, collections_26 
28, 18, 128, collections_4 
497, 331, 349, collections_20 
8369, 5579, 349, collections_14 
1712, 1140, 272, collections_15 
59, 38, 346, collections_21 
1437, 957, 588, collections_13 
187, 124, 108, collections_1 
89, 58, 214, collections_11 
374, 249, 431, collections_3 
5322, 3547, 458, collections_17 
1493, 995, 370, collections_5 
4505, 3002, 563, collections_18 
2282, 1520, 604, collections_22 
297, 198, 237, collections_12 
31, 20, 139, collections_7 
77, 51, 263, csv_18 
717, 478, 621, csv_22 
5466, 3644, 440, csv_27 
121, 80, 314, csv_2 
294, 195, 230, csv_6 
11844, 7895, 371, csv_16 
5670, 3780, 595, csv_14 
3309, 2205, 683, csv_1 
45, 30, 291, csv_8 
141, 93, 188, csv_13 
9, 6, 213, csv_20 
33, 21, 180, csv_29 
9, 6, 125, csv_21 
1364, 909, 452, csv_10 
33, 21, 341, csv_23 
1853, 1235, 453, csv_12 
11783, 7855, 553, csv_15 
35, 23, 147, csv_4 
5841, 3894, 554, csv_19 
3, 1, 99, csv_24 
294, 196, 361, csv_5 
774, 515, 518, csv_31 
2789, 1859, 390, csv_17 
22131, 14753, 558, io_9 
134, 89, 282, io_1 
0, 0, 0, io_6 
371, 247, 464, io_23 
24903, 16601, 708, io_12 
1073, 714, 558, io_24 
6704, 4469, 461, io_17 
780, 520, 487, io_18 
94, 62, 191, io_13 
661, 440, 291, io_10 
2627, 1750, 288, io_5 
2635, 1756, 649, io_2 
2894, 1929, 604, io_19 
577, 384, 218, io_20 
9996, 6664, 601, io_16 
432, 288, 254, io_4 
4571, 3047, 380, io_25 
381, 254, 343, io_7 
206, 136, 252, io_14 
14058, 9371, 570, io_11 
244, 162, 295, io_26 
2189, 1459, 289, io_3 
7628, 5084, 409, io_15 
76, 50, 240, text_30 
1299, 866, 442, text_5 
53, 34, 189, text_31 
585, 389, 408, text_14 
4118, 2744, 313, text_24 
881, 586, 266, text_29 
5834, 3889, 668, text_12 
13, 8, 115, text_16 
130, 86, 401, text_4 
7431, 4953, 209, text_6 
1804, 1202, 367, text_23 
3618, 2412, 455, text_2 
8546, 5697, 495, text_28 
355, 236, 272, text_25 
11, 6, 110, text_22 
20291, 13526, 473, text_1 
702, 467, 177, text_11 
3627, 2417, 452, text_3 
3039, 2025, 99, text_20 
11188, 7458, 527, text_26 
3851, 2567, 538, text_13 
183, 121, 160, text_15 
5733, 3821, 265, text_19 
3558, 2371, 395, text_8 
2167, 1444, 296, text_21 
20445, 13629, 487, text_18 
6122, 4081, 284, text_9 
5757, 3838, 517, lang_5 
153, 101, 205, lang_18 
0, 0, 5, lang_6 
2361, 1573, 443, lang_16 
8027, 5351, 526, lang_2 
2504, 1668, 419, lang_25 
4450, 2966, 365, lang_27 
908, 605, 231, lang_23 
0, 0, 0, lang_13 
2572, 1714, 457, lang_9 
237, 158, 355, lang_26 
3038, 2025, 634, lang_29 
11964, 7976, 312, lang_1 
461, 306, 222, lang_4 
5885, 3922, 676, lang_31 
5919, 3945, 495, lang_28 
1478, 984, 559, lang_12 
12232, 8154, 397, lang_21 
76, 50, 404, lang_10 
10737, 7158, 716, lang_17 
3453, 2302, 321, lang_11 
65, 42, 181, lang_19 
7228, 4818, 402, lang_7 
0, 0, 0, lang_15 
4848, 3232, 494, lang_3 
4950, 3299, 545, lang_20 
