test,val,train,name 
196, 157, 631, collections_25 
30, 24, 98, collections_28 
11, 9, 37, collections_10 
30, 24, 98, collections_26 
38, 30, 122, collections_4 
23, 18, 75, collections_20 
80, 64, 260, collections_14 
26, 21, 87, collections_15 
118, 94, 378, collections_21 
221, 177, 711, collections_13 
3, 3, 13, collections_1 
29, 23, 94, collections_11 
87, 70, 280, collections_3 
115, 92, 370, collections_17 
42, 34, 138, collections_5 
229, 183, 736, collections_18 
174, 139, 559, collections_22 
54, 43, 174, collections_12 
37, 30, 122, collections_7 
42, 34, 136, csv_18 
154, 123, 493, csv_22 
175, 140, 561, csv_27 
40, 32, 130, csv_2 
12, 10, 41, csv_6 
106, 85, 343, csv_16 
178, 142, 570, csv_14 
167, 134, 538, csv_1 
102, 82, 329, csv_8 
23, 19, 77, csv_13 
94, 75, 304, csv_20 
37, 29, 119, csv_29 
38, 30, 124, csv_21 
84, 67, 269, csv_10 
108, 86, 346, csv_23 
83, 67, 269, csv_12 
178, 142, 570, csv_15 
23, 19, 77, csv_4 
186, 148, 596, csv_19 
11, 9, 37, csv_24 
54, 43, 173, csv_5 
142, 113, 455, csv_31 
146, 117, 471, csv_17 
115, 92, 371, io_9 
42, 33, 136, io_1 
0, 0, 0, io_6 
97, 77, 311, io_23 
654, 524, 2096, io_12 
276, 221, 885, io_24 
76, 61, 247, io_17 
135, 108, 433, io_18 
58, 46, 187, io_13 
16, 13, 52, io_10 
42, 34, 136, io_5 
313, 251, 1005, io_2 
280, 224, 896, io_19 
40, 32, 130, io_20 
323, 259, 1036, io_16 
79, 63, 254, io_4 
61, 49, 198, io_25 
45, 36, 147, io_7 
33, 26, 108, io_14 
302, 242, 969, io_11 
76, 61, 246, io_26 
56, 45, 180, io_3 
421, 337, 1351, io_15 
62, 49, 199, text_30 
55, 44, 180, text_5 
10, 8, 35, text_31 
125, 100, 401, text_14 
86, 69, 278, text_24 
39, 31, 126, text_29 
939, 751, 3006, text_12 
12, 9, 39, text_16 
258, 206, 828, text_4 
12, 9, 39, text_6 
37, 29, 120, text_23 
206, 164, 660, text_2 
104, 83, 333, text_28 
48, 39, 156, text_25 
9, 7, 31, text_22 
431, 345, 1382, text_1 
61, 48, 196, text_11 
313, 251, 1004, text_3 
16, 13, 54, text_20 
390, 312, 1252, text_26 
167, 134, 538, text_13 
16, 13, 54, text_15 
46, 37, 150, text_19 
294, 236, 944, text_8 
74, 59, 237, text_21 
310, 248, 993, text_18 
63, 51, 205, text_9 
106, 85, 341, lang_5 
27, 22, 88, lang_18 
1, 1, 6, lang_6 
96, 77, 311, lang_16 
204, 163, 655, lang_2 
286, 229, 918, lang_25 
98, 78, 314, lang_27 
36, 29, 117, lang_23 
0, 0, 0, lang_13 
55, 44, 177, lang_9 
34, 27, 112, lang_26 
619, 495, 1984, lang_29 
87, 70, 282, lang_1 
29, 24, 96, lang_4 
279, 223, 894, lang_31 
663, 530, 2122, lang_28 
75, 60, 244, lang_12 
223, 178, 716, lang_21 
92, 74, 296, lang_10 
423, 338, 1354, lang_17 
39, 31, 126, lang_11 
21, 16, 68, lang_19 
331, 265, 1063, lang_7 
0, 0, 0, lang_15 
355, 284, 1136, lang_3 
406, 324, 1300, lang_20 
